ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_G1,1,145,G,1,4,0,37,0,A_r,none,t0_S_G9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G2,1,146,G,2,4,2,37,0,A_r,none,t0_S_G10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H1,1,169,H,1,4,1,37,0,A_r,none,t0_S_H9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H2,1,170,H,2,4,3,37,0,A_r,none,t0_S_H10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G3,1,147,G,3,4,0,38,0,B_r,none,t0_S_G13,,,,,,['0' '1' '1' '1'],7,A&B,No treatment
t0_P1_G4,1,148,G,4,4,2,38,0,B_r,none,t0_S_G14,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H3,1,171,H,3,4,1,38,0,B_r,none,t0_S_H13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H4,1,172,H,4,4,3,38,0,B_r,none,t0_S_H14,,,,,,['0' '1' '1' '1'],7,A&B,No treatment
t0_P1_G5,1,149,G,5,4,0,39,0,A_r,none,t0_S_G9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G6,1,150,G,6,4,2,39,0,A_r,none,t0_S_G10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H5,1,173,H,5,4,1,39,0,A_r,none,t0_S_H9,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H6,1,174,H,6,4,3,39,0,A_r,none,t0_S_H10,,,,,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G7,1,151,G,7,4,0,40,0,B_r,none,t0_S_G13,,,,t1_P1_G7,,['0' '0' '1' '1'],3,B_r,No treatment
